"Date","Geo Port","Inflation"
"1972-07-21",15008.46,11096.95
"1972-07-24",15149.85,11102.08
"1972-07-25",15069.56,11103.79
"1972-07-26",15244.06,11105.5
"1972-07-27",15268.4,11107.21
"1972-07-28",15323.94,11108.92
"1972-07-31",15296,11114.06
"1972-08-01",15529.88,11114.91
"1972-08-02",15774.12,11115.77
"1972-08-03",15829.16,11116.63
"1972-08-04",15829.24,11117.48
"1972-08-07",15683.3,11120.05
"1972-08-08",15686.88,11120.9
"1972-08-09",15590.28,11121.76
"1972-08-10",15769.53,11122.61
"1972-08-11",15886.71,11123.47
"1972-08-14",15928.58,11126.04
"1972-08-15",15803.97,11126.89
"1972-08-16",15846.48,11127.75
"1972-08-17",15741.74,11128.6
"1972-08-18",15811.16,11129.46
"1972-08-21",15798.09,11132.03
"1972-08-22",15883.22,11132.88
"1972-08-23",15881.96,11133.74
"1972-08-24",15653.08,11134.59
"1972-08-25",15648.08,11135.45
"1972-08-28",15612.56,11138.02
"1972-08-29",15659.73,11138.87
"1972-08-30",15664.87,11139.73
"1972-08-31",15645.21,11140.58
"1972-09-01",15787.97,11141.47
"1972-09-05",15750.78,11145
"1972-09-06",15561.8,11145.89
"1972-09-07",15428.81,11146.77
"1972-09-08",15306.4,11147.66
"1972-09-11",15155.47,11150.31
"1972-09-12",15089.99,11151.19
"1972-09-13",15117.08,11152.08
"1972-09-14",14980.21,11152.96
"1972-09-15",14936.57,11153.85
"1972-09-18",14701.53,11156.5
"1972-09-19",14730.63,11157.38
"1972-09-20",14728.77,11158.27
"1972-09-21",14775.16,11159.15
"1972-09-22",14747.22,11160.04
"1972-09-25",14654.18,11162.69
"1972-09-26",14721.75,11163.57
"1972-09-27",14940.51,11164.46
"1972-09-28",15003.83,11165.34
"1972-09-29",15111.51,11166.22
"1972-10-02",14917.73,11170.53
"1972-10-03",14850.29,11172.24
"1972-10-04",14877.52,11173.95
"1972-10-05",14788.14,11175.67
"1972-10-06",14818.89,11177.38
"1972-10-09",14887.94,11182.51
"1972-10-10",14844.19,11184.22
"1972-10-11",14835.44,11185.93
"1972-10-12",14653.83,11187.64
